"V1","V2","V3","V4","V5"
0.0069558007716459,0.0485077023952614,0.00611148526384979,0.00710382592081295,0.00655710587927168
0.00662260353354157,0.0474717470882145,0.00404507839083499,0.00472117473054386,0.00470379255535001
0.00662249161775427,0.0239579664578439,0.00398004339430419,0.00426959107289062,0.00602737854958466
0.00818625681662724,0.02195539013027,0.00299273389766182,0.00345836806219995,0.00382476745824156
0.0134981026750127,0.0512195348950892,0.00856052914039876,0.00695430045985752,0.00732028754016978
0.0117767236732663,0.0499242263710176,0.00651579591052654,0.00473604901137316,0.00548362094201888
0.0133597352936018,0.0264354238875142,0.0056902380893932,0.00424896783108965,0.00758170746886438
0.0138371581580352,0.024367763107635,0.00475830922188571,0.00339579443263201,0.00489054854252773
0.00354586726826178,0.0245393495977588,0.00358368916605532,0.00378197594603439,0.0113643840482884
0.00350605658073544,0.0259370351095943,0.00251723230326536,0.00258326987765432,0.0111295272359598
0.00348215044168335,0.00927176379135071,0.00238548873563995,0.00240025159707005,0.0118222993400027
0.00330505133410631,0.00864298581709684,0.00165441565444041,0.00181630880099896,0.0103948517915566
0.00600741531174017,0.0261166531503206,0.0041955785754747,0.00373472916155863,0.0122971418994211
0.0059101280886815,0.0273105030725021,0.00334497070288984,0.00259259036582793,0.0118087196475243
0.00650432133844367,0.0107127875894076,0.00278628142529921,0.00238017999586281,0.0126200636327207
0.00572752970729461,0.0100675742559033,0.00198384745726987,0.00176186789719728,0.0110955489820979
